wind,timestamp,rain_1h,humidity,datetime,local_soil_humidity,local_soil_temperature,temp,cloud,is_test
4.6,1603119000.4791155,0,51,2020-10-19 14:50:00.479126+00:00,,14.49843692779541,14.490000000000009,100,False
5.09,1603122603.4152124,0,67,2020-10-19 15:50:03.415221+00:00,,13.753976821899414,13.400000000000034,100,False
5.1,1603126204.5705144,0,54,2020-10-19 16:50:04.570536+00:00,,13.460290908813477,12.970000000000027,100,False
5.1,1603129805.8348813,0,62,2020-10-19 17:50:05.834903+00:00,,13.2144136428833,12.610000000000014,100,False
5.1,1603133407.1862578,0,62,2020-10-19 18:50:07.186280+00:00,,13.091475486755371,12.430000000000007,100,False
5.7,1603137008.300463,0,62,2020-10-19 19:50:08.300484+00:00,,13.132454872131348,12.490000000000009,100,False
3.6,1603140609.43662,0,66,2020-10-19 20:50:09.436638+00:00,,13.173434257507324,12.550000000000011,100,False
4.6,1603144210.5849578,0,62,2020-10-19 21:50:10.584979+00:00,,13.009516716003418,12.310000000000002,100,False
4.6,1603147811.7924964,0,66,2020-10-19 22:50:11.792514+00:00,,12.96170711517334,12.240000000000009,100,False
3.6,1603151413.0028577,0,66,2020-10-19 23:50:13.002875+00:00,,13.043665885925293,12.360000000000014,100,False
4.1,1603155014.203853,0,66,2020-10-20 00:50:14.203874+00:00,,13.050496101379395,12.370000000000005,100,False
4.1,1603158615.3380191,0,66,2020-10-20 01:50:15.338040+00:00,,13.303202629089355,12.740000000000009,100,False
4.1,1603162221.46218,0.43,67,2020-10-20 02:50:21.462202+00:00,,13.549079895019531,13.100000000000023,100,False
4.1,1603165835.4667072,0,71,2020-10-20 03:50:35.466728+00:00,,13.460290908813477,12.970000000000027,100,False
4.1,1603169436.5493057,0.65,76,2020-10-20 04:50:36.549323+00:00,,13.549079895019531,13.100000000000023,100,False
3.6,1603173038.2535396,0,82,2020-10-20 05:50:38.253550+00:00,,13.753976821899414,13.400000000000034,20,False
5.1,1603176640.3607492,0,77,2020-10-20 06:50:40.360765+00:00,,13.999853134155273,13.760000000000048,100,False
3.6,1603180241.4918313,0,77,2020-10-20 07:50:41.491852+00:00,,14.252559661865234,14.129999999999995,75,False
4.1,1603183842.7032044,0,77,2020-10-20 08:50:42.703225+00:00,,14.976530075073242,15.189999999999998,75,False
4.6,1603187443.9164143,0,72,2020-10-20 09:50:43.916435+00:00,,15.67318058013916,16.210000000000036,90,False
5.1,1603191045.1149127,0,68,2020-10-20 10:50:45.114934+00:00,,16.335681915283203,17.180000000000007,40,False
5.7,1603194646.2548282,0,68,2020-10-20 11:50:46.254850+00:00,,16.711326599121094,17.730000000000018,40,False
6.7,1603198247.4415874,0,68,2020-10-20 12:50:47.441601+00:00,,16.67717742919922,17.680000000000007,75,False
6.2,1603201848.6744092,0,63,2020-10-20 13:50:48.674430+00:00,,16.827434539794922,17.900000000000034,75,False
4.6,1603205449.9444745,0,63,2020-10-20 14:50:49.944491+00:00,,16.786457061767578,17.840000000000032,75,False
6.7,1603209051.166353,0,63,2020-10-20 15:50:51.166374+00:00,,16.731815338134766,17.760000000000048,40,False
5.1,1603212652.4529088,0,68,2020-10-20 16:50:52.452930+00:00,,15.82343864440918,16.430000000000007,20,False
3.1,1603216253.5905516,0,72,2020-10-20 17:50:53.590572+00:00,,15.290705680847168,15.650000000000034,20,False
3.1,1603219854.7739441,0,82,2020-10-20 18:50:54.773964+00:00,,15.003849983215332,15.230000000000018,20,False
3.6,1603223455.988999,0,82,2020-10-20 19:50:55.989020+00:00,,15.044829368591309,15.29000000000002,40,False
4.1,1603227057.1303356,0,82,2020-10-20 20:50:57.130349+00:00,,14.99701976776123,15.220000000000027,100,False
4.1,1603230658.6226823,0,82,2020-10-20 21:50:58.622694+00:00,,14.99701976776123,15.220000000000027,20,False
4.6,1603232943.720615,0,82,2020-10-20 22:29:03.720626+00:00,,15.085808753967285,15.350000000000023,100,False
3.6,1603236544.9381204,0,82,2020-10-20 23:29:04.938141+00:00,,15.044829368591309,15.29000000000002,100,False
3.6,1603240146.153202,0,82,2020-10-21 00:29:06.153224+00:00,,14.8740816116333,15.04000000000002,100,False
2.1,1603243747.3670967,0,82,2020-10-21 01:29:07.367117+00:00,,14.8740816116333,15.04000000000002,40,False
2.1,1603247348.5930653,0,87,2020-10-21 02:29:08.593082+00:00,,14.887742042541504,15.060000000000002,90,False
2.1,1603250950.3473587,0.87,87,2020-10-21 03:29:10.347369+00:00,,14.716994285583496,14.810000000000002,90,False
2.6,1603254552.412624,1.15,93,2020-10-21 04:29:12.412634+00:00,,14.546246528625488,14.560000000000002,75,False
3.6,1603258153.4956114,1.33,93,2020-10-21 05:29:13.495626+00:00,,14.47111701965332,14.450000000000045,100,False
4.6,1603261755.270999,1.69,93,2020-10-21 06:29:15.271020+00:00,,14.402817726135254,14.350000000000023,90,False
4.6,1603265357.5067232,0.48,100,2020-10-21 07:29:17.506737+00:00,,14.136451721191406,13.960000000000036,100,False
3.1,1603268958.6356285,0.68,100,2020-10-21 08:29:18.635651+00:00,,14.136451721191406,13.960000000000036,100,False
2.6,1603272560.0567486,2.9,100,2020-10-21 09:29:20.056766+00:00,,14.21841049194336,14.080000000000041,100,False
2.6,1603276161.267722,1.46,93,2020-10-21 10:29:21.267742+00:00,,14.457457542419434,14.430000000000007,100,False
0.5,1603279762.388442,1.7,93,2020-10-21 11:29:22.388460+00:00,,14.751143455505371,14.860000000000014,75,False
3.6,1603283363.5655687,0.34,93,2020-10-21 12:29:23.565590+00:00,,14.956040382385254,15.160000000000025,75,False
